id,plan_name,sector_id,sector,metric_name,metric_id,value,category_id,category_name,description,source,iso3
1039,Burundi Humanitarian Response Plan 2021,0,Total,Dans le besoin,inNeed,2255830,Total,Total,Plan Caseload,Burundi HRP 2021,BDI
1039,Burundi Humanitarian Response Plan 2021,0,Total,Ciblées,target,1058332,Total,Total,Plan Caseload,Burundi HRP 2021,BDI
1039,Burundi Humanitarian Response Plan 2021,0,Total,Atteintes Attendues,expectedReach,354000,Total,Total,Plan Caseload,Burundi HRP 2021,BDI
1040,Mozambique Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,32200000,Total,Total,Mozambique HRP 2021 Caseload,Mozambique HRP 2021,MOZ
1040,Mozambique Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Mozambique HRP 2021 Caseload,Mozambique HRP 2021,MOZ
1040,Mozambique Humanitarian Response Plan 2021,0,Total,In Need,inNeed,1326777,Total,Total,Mozambique HRP 2021 Caseload,Mozambique HRP 2021,MOZ
1040,Mozambique Humanitarian Response Plan 2021,0,Total,Targeted,target,1046911,Total,Total,Mozambique HRP 2021 Caseload,Mozambique HRP 2021,MOZ
1040,Mozambique Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,1230000,Total,Total,Mozambique HRP 2021 Caseload,Mozambique HRP 2021,MOZ
1041,Ethiopia Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,117900000,Total,Total,Plan Caseload,2021 HRP,ETH
1041,Ethiopia Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Plan Caseload,2021 HRP,ETH
1041,Ethiopia Humanitarian Response Plan 2021,0,Total,In Need,inNeed,23902819,Total,Total,Plan Caseload,2021 HRP,ETH
1041,Ethiopia Humanitarian Response Plan 2021,0,Total,Targeted,target,14828160,Total,Total,Plan Caseload,2021 HRP,ETH
1041,Ethiopia Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,7671261,Total,Total,Plan Caseload,2021 HRP,ETH
1042,Zimbabwe Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,16152764,Total,Total,Final Plan Caseload,HRP,ZWE
1042,Zimbabwe Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Final Plan Caseload,HRP,ZWE
1042,Zimbabwe Humanitarian Response Plan 2021,0,Total,In Need,inNeed,6800000,Total,Total,Final Plan Caseload,HRP,ZWE
1042,Zimbabwe Humanitarian Response Plan 2021,0,Total,Targeted,target,4500000,Total,Total,Final Plan Caseload,HRP,ZWE
1042,Zimbabwe Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,2900000,Total,Total,Final Plan Caseload,HRP,ZWE
1043,Haiti Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,11400000,Total,Total,Plan Caseload Estimate,GHO Estimates,HTI
1043,Haiti Humanitarian Response Plan 2021,0,Total,Affectées,affected,,Total,Total,Plan Caseload Estimate,GHO Estimates,HTI
1043,Haiti Humanitarian Response Plan 2021,0,Total,Dans le besoin,inNeed,4355735,Total,Total,Plan Caseload Estimate,GHO Estimates,HTI
1043,Haiti Humanitarian Response Plan 2021,0,Total,Ciblées,target,1500000,Total,Total,Plan Caseload Estimate,GHO Estimates,HTI
1043,Haiti Humanitarian Response Plan 2021,0,Total,Atteintes Attendues,expectedReach,1622490,Total,Total,Plan Caseload Estimate,GHO Estimates,HTI
1044,Syria Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,17500000,Total,Total,Plan Caseload,"",SYR
1044,Syria Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Plan Caseload,"",SYR
1044,Syria Humanitarian Response Plan 2021,0,Total,In Need,inNeed,13400000,Total,Total,Plan Caseload,"",SYR
1044,Syria Humanitarian Response Plan 2021,0,Total,Targeted,target,11100000,Total,Total,Plan Caseload,"",SYR
1044,Syria Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,6700000,Total,Total,Plan Caseload,"",SYR
1045,Honduras Flash Appeal 2020-2021,0,Total,Population,totalPopulation,9450000,Total,Total,Flash Appeal Caseload,"",HND
1045,Honduras Flash Appeal 2020-2021,0,Total,Affected,affected,0,Total,Total,Flash Appeal Caseload,"",HND
1045,Honduras Flash Appeal 2020-2021,0,Total,In Need,inNeed,0,Total,Total,Flash Appeal Caseload,"",HND
1045,Honduras Flash Appeal 2020-2021,0,Total,Targeted,target,0,Total,Total,Flash Appeal Caseload,"",HND
1045,Honduras Flash Appeal 2020-2021,0,Total,Expected Reached,expectedReach,7e+05,Total,Total,Flash Appeal Caseload,"",HND
1046,Myanmar Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,54400000,Total,Total,Plan Caseload HRP,HRP,MMR
1046,Myanmar Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Plan Caseload HRP,HRP,MMR
1046,Myanmar Humanitarian Response Plan 2021,0,Total,In Need,inNeed,1035782,Total,Total,Plan Caseload HRP,HRP,MMR
1046,Myanmar Humanitarian Response Plan 2021,0,Total,Targeted,target,944468,Total,Total,Plan Caseload HRP,HRP,MMR
1046,Myanmar Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,667000,Total,Total,Plan Caseload HRP,HRP,MMR
1047,Madagascar's Grand Sud Flash Appeal 2021,0,Total,Population,totalPopulation,28400000,Total,Total,Plan caseload,Flash Appeal,MDG
1047,Madagascar's Grand Sud Flash Appeal 2021,0,Total,Affected,affected,,Total,Total,Plan caseload,Flash Appeal,MDG
1047,Madagascar's Grand Sud Flash Appeal 2021,0,Total,In Need,inNeed,1590000,Total,Total,Plan caseload,Flash Appeal,MDG
1047,Madagascar's Grand Sud Flash Appeal 2021,0,Total,Targeted,target,1310000,Total,Total,Plan caseload,Flash Appeal,MDG
1047,Madagascar's Grand Sud Flash Appeal 2021,0,Total,Expected Reach,expectedReach,908000,Total,Total,Plan caseload,Flash Appeal,MDG
1048,Nepal Covid-19 Response Plan 2021,0,Total,Population,totalPopulation,,Total,Total,Plan Estimates,Government of Nepal,NPL
1048,Nepal Covid-19 Response Plan 2021,0,Total,Affected,affected,,Total,Total,Plan Estimates,Government of Nepal,NPL
1048,Nepal Covid-19 Response Plan 2021,0,Total,In Need,inNeed,4900000,Total,Total,Plan Estimates,Government of Nepal,NPL
1048,Nepal Covid-19 Response Plan 2021,0,Total,Targeted,target,750000,Total,Total,Plan Estimates,Government of Nepal,NPL
1048,Nepal Covid-19 Response Plan 2021,0,Total,Expected Reach,expectedReach,,Total,Total,Plan Estimates,Government of Nepal,NPL
1049,Escalation of Hostilities in the oPt  Flash Appeal 2021,0,Total,Population,totalPopulation,5100000,Total,Total,Plan Caseload final,"",PSE
1049,Escalation of Hostilities in the oPt  Flash Appeal 2021,0,Total,Affected,affected,,Total,Total,Plan Caseload final,"",PSE
1049,Escalation of Hostilities in the oPt  Flash Appeal 2021,0,Total,In Need,inNeed,0,Total,Total,Plan Caseload final,"",PSE
1049,Escalation of Hostilities in the oPt  Flash Appeal 2021,0,Total,Targeted,target,0,Total,Total,Plan Caseload final,"",PSE
1049,Escalation of Hostilities in the oPt  Flash Appeal 2021,0,Total,Expected Reach,expectedReach,0,Total,Total,Plan Caseload final,"",PSE
1050,Lebanon Emergency Response Plan 2021,0,Total,Population,totalPopulation,,Total,Total,Plan caseload final figures,"",LBN
1050,Lebanon Emergency Response Plan 2021,0,Total,Affected,affected,2400000,Total,Total,Plan caseload final figures,"",LBN
1050,Lebanon Emergency Response Plan 2021,0,Total,In Need,inNeed,1863924,Total,Total,Plan caseload final figures,"",LBN
